OBJECTID,NAME,State,County,GEOid_1,GEOdisplay,HH0V_15,HH0V_14,HH0V_13,HH0V_12,HH0V_11,HH1V_15,HH1V_14,HH1V_13,HH1V_12,HH1V_11,HH2V_15,HH2V_14,HH2V_13,HH2V_12,HH2V_11,HH3V_15,HH3V_14,HH3V_13,HH3V_12,HH3V_11,HH4V_15,HH4V_14,HH4V_13,HH4V_12,HH4V_11,P1HH0V_15,P1HH0V_14,P1HH0V_13,P1HH0V_12,P1HH0V_11,P1HH1V_15,P1HH1V_14,P1HH1V_13,P1HH1V_12,P1HH1V_11,P1HH2V_15,P1HH2V_14,P1HH2V_13,P1HH2V_12,P1HH2V_11,P1HH3V_15,P1HH3V_14,P1HH3V_13,P1HH3V_12,P1HH3V_11,P1HH4V_15,P1HH4V_14,P1HH4V_13,P1HH4V_12,P1HH4V_11,P2HH0V_15,P2HH0V_14,P2HH0V_13,P2HH0V_12,P2HH0V_11,P2HH1V_15,P2HH1V_14,P2HH1V_13,P2HH1V_12,P2HH1V_11,P2HH2V_15,P2HH2V_14,P2HH2V_13,P2HH2V_12,P2HH2V_11,P2HH3V_15,P2HH3V_14,P2HH3V_13,P2HH3V_12,P2HH3V_11,P2HH4V_15,P2HH4V_14,P2HH4V_13,P2HH4V_12,P2HH4V_11,P3HH0V_15,P3HH0V_14,P3HH0V_13,P3HH0V_12,P3HH0V_11,P3HH1V_15,P3HH1V_14,P3HH1V_13,P3HH1V_12,P3HH1V_11,P3HH2V_15,P3HH2V_14,P3HH2V_13,P3HH2V_12,P3HH2V_11,P3HH3V_15,P3HH3V_14,P3HH3V_13,P3HH3V_12,P3HH3V_11,P3HH4V_15,P3HH4V_14,P3HH4V_13,P3HH4V_12,P3HH4V_11,P4HH0V_15,P4HH0V_14,P4HH0V_13,P4HH0V_12,P4HH0V_11,P4HH1V_15,P4HH1V_14,P4HH1V_13,P4HH1V_12,P4HH1V_11,P4HH2V_15,P4HH2V_14,P4HH2V_13,P4HH2V_12,P4HH2V_11,P4HH3V_15,P4HH3V_14,P4HH3V_13,P4HH3V_12,P4HH3V_11,P4HH4V_15,P4HH4V_14,P4HH4V_13,P4HH4V_12,P4HH4V_11,CT
11,83.01,District of Columbia,District of Columbia,1400000US11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",16.38,18.47,16.65,19.00,17.95,57.03,53.82,57.27,53.43,58.57,20.32,20.75,19.21,22.30,21.16,6.27,6.95,6.86,5.26,2.32,0.00,0.00,0.00,0.00,0.00,35.50,37.00,32.10,38.00,35.60,61.90,60.20,65.60,60.10,61.80,2.60,2.80,2.30,1.90,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.90,19.30,17.80,10.70,5.70,51.20,45.10,49.10,52.20,57.70,33.00,32.90,33.20,37.20,33.70,1.90,2.60,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.40,13.30,56.70,57.80,52.60,30.90,50.80,26.70,22.10,25.70,34.90,35.90,16.60,20.10,21.60,24.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,62.00,62.50,58.90,57.70,16.80,19.30,16.80,29.20,33.10,20.20,18.70,20.70,11.90,9.20,0.00,0.00,0.00,0.00,0.00,11001008301
12,92.01,District of Columbia,District of Columbia,1400000US11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",33.72,26.79,28.34,28.37,36.76,52.08,57.57,53.25,55.34,51.62,13.02,14.64,18.05,15.06,10.48,0.65,1.00,0.36,1.23,1.14,0.52,0.00,0.00,0.00,0.00,36.80,30.40,26.70,22.60,37.50,60.70,64.50,67.00,72.00,58.10,2.50,5.10,6.20,5.40,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.70,28.40,33.60,41.00,48.30,50.20,55.10,49.00,46.70,51.70,18.10,16.50,17.50,12.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.70,29.20,39.20,30.70,22.50,44.20,43.10,39.20,36.60,31.00,15.80,19.40,18.90,25.70,38.00,5.30,8.30,2.70,6.90,8.50,0.00,0.00,0.00,0.00,0.00,28.00,7.80,0.11,26.10,22.40,35.50,51.90,20.30,30.40,48.30,32.30,40.30,68.80,43.50,29.30,0.00,0.00,0.00,0.00,0.00,4.30,0.00,0.00,0.00,0.00,11001009201
13,95.07,District of Columbia,District of Columbia,1400000US11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",16.12,12.69,6.59,8.68,5.04,50.94,51.61,51.40,53.63,51.60,19.21,23.35,25.54,24.29,29.31,10.29,11.34,15.32,12.30,14.05,3.43,1.02,1.15,1.10,0.00,12.70,14.80,14.70,11.50,5.80,82.00,80.00,82.00,85.90,94.20,3.10,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,2.60,3.30,2.70,0.00,28.10,15.10,3.90,4.40,0.00,39.60,46.70,46.10,41.20,36.40,23.00,27.00,32.00,32.00,36.90,9.40,11.20,18.00,22.40,26.70,0.00,0.00,0.00,0.00,0.00,14.10,13.00,0.00,0.00,15.60,38.00,27.30,9.80,5.70,18.90,29.30,42.90,78.00,80.00,54.40,18.50,16.90,12.20,14.30,11.10,0.00,0.00,0.00,0.00,0.00,10.50,6.10,0.00,16.10,5.20,16.10,22.00,23.60,11.50,33.60,37.10,43.90,39.40,52.90,44.80,24.20,28.00,37.00,19.50,16.40,12.10,0.00,0.00,0.00,0.00,11001009507
14,96.04,District of Columbia,District of Columbia,1400000US11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",30.51,29.91,36.28,39.42,39.42,45.82,47.63,46.71,43.01,40.62,16.82,14.90,11.11,10.78,14.94,5.24,5.54,4.52,6.79,5.02,1.61,2.01,1.38,0.00,0.00,45.20,38.90,41.80,40.80,41.30,52.80,57.80,55.80,57.40,53.90,2.00,3.30,2.40,1.80,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.70,27.20,38.80,47.20,43.80,34.40,36.00,36.20,27.20,18.00,34.00,25.60,16.90,20.10,34.70,5.70,5.60,4.10,5.60,3.50,3.20,5.60,4.10,0.00,0.00,2.50,4.60,13.60,19.70,15.10,46.20,28.40,40.70,51.30,37.70,38.70,45.00,17.30,6.60,0.00,12.60,22.00,28.40,22.40,47.20,0.00,0.00,0.00,0.00,0.00,10.00,12.60,0.15,23.90,31.00,42.20,41.40,40.70,19.30,46.00,16.70,19.50,33.70,26.60,11.90,23.30,19.50,10.50,30.30,11.10,7.80,6.90,0.00,0.00,0.00,11001009604
15,99.03,District of Columbia,District of Columbia,1400000US11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",17.12,16.97,17.80,21.74,22.04,57.61,57.28,59.25,64.62,65.95,23.91,24.89,18.22,7.95,5.76,1.36,0.85,4.73,5.70,6.25,0.00,0.00,0.00,0.00,0.00,37.90,30.40,22.80,21.00,15.90,54.80,62.10,72.10,73.10,84.10,7.30,7.50,5.10,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.60,9.10,12.40,13.70,15.10,74.10,70.50,56.60,65.60,64.90,17.30,20.50,20.70,6.60,6.80,0.00,0.00,10.30,14.10,13.10,0.00,0.00,0.00,0.00,0.00,6.30,13.90,17.80,41.30,35.60,46.50,43.10,42.40,50.00,59.60,43.80,38.90,36.40,6.50,0.00,3.50,4.20,3.40,2.20,4.80,0.00,0.00,0.00,0.00,0.00,10.30,12.60,0.23,37.90,51.90,37.40,32.60,41.00,17.20,13.50,47.70,54.70,35.90,44.80,34.60,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11001009903
16,3,District of Columbia,District of Columbia,1400000US11001000300,"Census Tract 3, District of Columbia, District of Columbia",17.42,15.92,15.52,16.14,14.92,51.71,50.18,50.22,49.55,51.71,26.03,29.54,29.00,28.22,26.30,3.88,3.24,4.09,4.38,5.67,0.96,1.13,1.16,1.70,1.41,25.20,22.90,27.60,28.00,25.60,67.80,69.10,61.10,64.00,69.50,7.00,8.00,9.70,6.50,3.20,0.00,0.00,1.60,1.50,1.70,0.00,0.00,0.00,0.00,0.00,8.90,12.40,11.10,8.20,6.20,45.40,35.60,39.20,34.50,43.40,44.00,49.80,47.90,47.60,40.30,1.70,2.20,1.80,5.70,5.70,0.00,0.00,0.00,4.00,4.50,14.60,12.60,10.90,10.00,12.50,44.60,51.50,56.90,58.30,43.20,30.20,30.70,29.00,27.90,33.70,10.60,5.20,3.20,3.80,10.60,0.00,0.00,0.00,0.00,0.00,14.40,8.40,0.00,4.70,4.30,28.60,29.20,36.70,28.60,24.10,40.30,45.20,41.20,51.50,59.20,11.00,10.60,14.90,11.40,12.40,5.60,6.60,7.20,3.70,0.00,11001000300
17,14.01,District of Columbia,District of Columbia,1400000US11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",21.51,21.36,21.47,19.39,22.82,42.36,40.64,34.88,35.43,33.57,29.55,29.71,34.74,35.98,36.50,5.71,7.10,7.93,7.32,7.12,0.86,1.18,0.98,1.88,0.00,38.10,39.70,45.40,41.50,47.80,58.70,55.70,51.40,54.00,50.60,2.20,3.10,1.50,1.40,1.70,0.00,0.00,0.00,0.00,0.00,1.10,1.50,1.70,3.20,0.00,15.80,15.50,13.30,11.20,13.90,32.40,34.80,30.90,35.90,37.60,43.90,42.10,46.60,43.50,39.10,7.90,7.60,9.20,9.40,9.40,0.00,0.00,0.00,0.00,0.00,3.00,4.40,0.00,0.00,0.00,37.90,33.80,21.20,13.10,13.00,48.50,46.90,63.50,76.00,76.30,10.60,15.00,15.40,10.90,10.70,0.00,0.00,0.00,0.00,0.00,5.20,3.70,0.06,6.50,5.00,22.50,23.90,20.70,17.70,8.90,58.30,54.70,56.80,58.10,71.00,12.10,15.30,15.10,14.20,15.10,2.00,2.40,1.80,3.50,0.00,11001001401
18,14.02,District of Columbia,District of Columbia,1400000US11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",24.95,22.92,24.71,26.08,26.63,37.08,43.26,42.34,39.88,39.62,33.33,30.75,30.09,30.27,29.39,4.16,3.00,2.87,3.76,4.35,0.48,0.07,0.00,0.00,0.00,42.90,39.00,42.00,45.40,48.20,46.50,52.90,54.90,54.60,51.80,10.60,8.10,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.80,16.40,17.00,18.50,15.10,41.40,47.50,41.20,34.70,40.10,38.70,36.10,41.80,43.60,41.40,0.00,0.00,0.00,3.20,3.30,0.00,0.00,0.00,0.00,0.00,5.10,0.00,0.00,0.00,0.00,18.50,28.30,19.40,21.40,7.90,46.10,43.40,49.60,45.30,57.90,30.30,28.30,31.00,33.30,34.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.60,20.70,20.30,18.20,17.90,74.40,78.90,79.70,81.80,78.90,2.50,0.00,0.00,0.00,3.20,2.50,0.40,0.00,0.00,0.00,11001001402
19,19.02,District of Columbia,District of Columbia,1400000US11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",10.94,10.74,7.15,9.18,11.52,54.34,52.75,60.98,53.64,51.62,26.52,24.66,19.57,25.98,27.13,6.18,9.89,10.54,9.77,8.64,2.02,1.95,1.76,1.43,1.08,16.60,15.30,15.80,26.80,31.90,80.20,77.90,77.30,66.10,58.20,3.20,3.70,3.80,3.90,5.70,0.00,3.10,3.10,3.10,4.20,0.00,0.00,0.00,0.00,0.00,9.80,11.00,7.80,3.60,4.80,39.00,38.00,42.70,24.10,34.50,43.10,41.80,40.30,62.20,53.20,8.10,9.30,9.20,10.00,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.20,50.70,75.30,77.40,74.60,33.50,31.30,13.40,9.10,13.20,2.90,11.10,11.30,13.60,12.30,5.30,6.90,0.00,0.00,0.00,14.80,11.80,0.00,0.00,0.00,24.60,27.80,23.00,36.60,22.20,35.90,32.60,32.00,33.30,52.20,19.00,23.60,31.00,17.20,15.60,5.60,4.20,14.00,12.90,10.00,11001001902
20,22.01,District of Columbia,District of Columbia,1400000US11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",20.46,21.00,22.81,18.16,18.32,44.09,48.61,45.62,48.86,47.43,25.26,21.54,24.22,25.19,30.44,10.19,7.24,4.52,4.47,1.50,0.00,1.61,2.83,3.33,2.30,37.30,39.50,42.00,29.60,35.90,62.70,60.50,54.90,67.20,62.10,0.00,0.00,3.10,3.20,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.10,15.00,20.20,15.50,21.40,39.90,46.50,53.80,52.50,46.10,34.10,25.40,15.70,21.40,28.30,11.90,13.10,10.30,10.60,4.20,0.00,0.00,0.00,0.00,0.00,20.50,20.80,8.00,11.80,9.80,49.70,69.80,45.50,48.70,45.80,29.80,9.40,46.50,39.60,44.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.70,15.00,0.18,15.40,10.00,31.10,32.60,28.10,29.40,40.10,33.90,38.20,38.20,38.90,40.10,21.30,8.50,4.90,4.40,0.70,0.00,5.60,10.40,11.90,9.00,11001002201
21,27.01,District of Columbia,District of Columbia,1400000US11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",55.43,49.45,52.61,47.16,44.65,34.48,37.36,38.22,45.56,47.40,8.55,10.95,7.76,6.23,6.81,0.64,1.29,0.71,0.19,0.60,0.90,0.95,0.71,0.86,0.53,68.40,65.00,69.00,65.90,61.40,31.60,35.00,31.00,34.10,37.80,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.60,29.70,28.30,24.50,26.70,37.20,51.30,56.70,63.50,64.80,14.50,17.00,13.10,10.50,8.50,0.00,0.00,0.00,0.00,0.00,2.70,2.00,1.90,1.60,0.00,22.60,39.00,34.90,39.30,36.90,53.70,34.50,33.70,53.30,57.60,23.70,26.50,31.30,7.50,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.80,36.90,0.52,10.10,6.40,26.90,11.90,0.00,39.60,14.90,22.20,34.20,31.00,40.30,57.40,5.00,13.10,15.50,3.60,11.30,2.10,3.80,1.70,6.50,9.90,11001002701
